time,data
2024/12/16 19:11:33.144068360,0.0
2024/12/16 19:11:33.244491781,0.0
2024/12/16 19:11:33.346605197,0.0
2024/12/16 19:11:33.444929086,0.0
2024/12/16 19:11:33.544234376,0.0
2024/12/16 19:11:33.642898530,0.0
2024/12/16 19:11:33.743623388,0.0
2024/12/16 19:11:33.844234665,0.0
2024/12/16 19:11:33.955579418,0.0
2024/12/16 19:11:34.44069714,0.0
2024/12/16 19:11:34.145180781,0.0
2024/12/16 19:11:34.244571030,0.0
2024/12/16 19:11:34.345083818,0.0
2024/12/16 19:11:34.443391045,0.0
2024/12/16 19:11:34.543786534,0.0
2024/12/16 19:11:34.643511581,0.0
2024/12/16 19:11:34.744168832,0.0
2024/12/16 19:11:34.843752341,0.0
2024/12/16 19:11:34.945067843,0.0
2024/12/16 19:11:35.44938389,0.0
2024/12/16 19:11:35.140990428,0.0
2024/12/16 19:11:35.242304073,0.0
2024/12/16 19:11:35.342284083,0.0
2024/12/16 19:11:35.443644884,0.0
2024/12/16 19:11:35.542077565,0.0
2024/12/16 19:11:35.643298296,0.0
2024/12/16 19:11:35.745087949,0.0
2024/12/16 19:11:35.843341587,0.0
2024/12/16 19:11:35.947782858,0.0
2024/12/16 19:11:36.44725302,0.0
2024/12/16 19:11:36.144371956,0.0
2024/12/16 19:11:36.243367095,0.0
2024/12/16 19:11:36.343741995,0.0
2024/12/16 19:11:36.444340147,0.0
2024/12/16 19:11:36.543651546,0.0
2024/12/16 19:11:36.643440733,0.0
2024/12/16 19:11:36.743440097,0.0
2024/12/16 19:11:36.842739196,0.0
2024/12/16 19:11:36.945451559,0.0
2024/12/16 19:11:37.44966427,0.0
2024/12/16 19:11:37.143846139,0.0
2024/12/16 19:11:37.243631297,0.0
2024/12/16 19:11:37.342792023,0.0
2024/12/16 19:11:37.445421576,0.0
2024/12/16 19:11:37.544696011,0.0
2024/12/16 19:11:37.641260452,0.0
2024/12/16 19:11:37.743309806,0.0
2024/12/16 19:11:37.842974509,0.0
2024/12/16 19:11:37.941543397,0.0
2024/12/16 19:11:38.49019882,0.0
2024/12/16 19:11:38.141135380,0.0
