time,header_stamp_secs,header_stamp_nsecs,header_frame_id,name_0,name_1,name_2,name_3,name_4,name_5,name_6,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6
2024/12/16 19:11:33.149502147,1734085835,445915692,,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,1.5973642855916,-1.2014469202242,-0.00109558592976104,-1.02396199960292,0.00205422361830196,0.118734125137853,-0.000547792964880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 19:11:33.249607572,1734085835,545936468,,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,1.5973642855916,-1.2014469202242,-0.00109558592976104,-1.02396199960292,0.00205422361830196,0.118734125137853,-0.000547792964880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 19:11:33.352685606,1734085835,647033375,,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,1.5973642855916,-1.2014469202242,-0.00109558592976104,-1.02396199960292,0.00205422361830196,0.118734125137853,-0.000547792964880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 19:11:33.448571211,1734085835,745832072,,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,1.5973642855916,-1.2014469202242,-0.00109558592976104,-1.02396199960292,0.00205422361830196,0.118734125137853,-0.000547792964880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 19:11:33.550106560,1734085835,845795865,,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,1.5973642855916,-1.2014469202242,-0.00109558592976104,-1.02396199960292,0.00205422361830196,0.118734125137853,-0.000547792964880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 19:11:33.649310878,1734085835,945805198,,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,1.5973642855916,-1.2014469202242,-0.00109558592976104,-1.02396199960292,0.00205422361830196,0.118734125137853,-0.000547792964880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 19:11:33.749355558,1734085836,45920022,,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,1.5973642855916,-1.2014469202242,-0.00109558592976104,-1.02396199960292,0.00205422361830196,0.118734125137853,-0.000547792964880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 19:11:33.851400486,1734085836,146293561,,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,1.5973642855916,-1.2014469202242,-0.00109558592976104,-1.02396199960292,0.00205422361830196,0.118734125137853,-0.000547792964880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 19:11:33.951770727,1734085836,246286099,,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,1.5973642855916,-1.2014469202242,-0.00109558592976104,-1.02396199960292,0.00205422361830196,0.118734125137853,-0.000547792964880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 19:11:34.48159184,1734085836,345835001,,leg3base_link_link2,leg3link2_link3,leg3link3_link4,leg3link4_link5,leg3link5_link6,leg3link6_link7,leg3link7_link8,1.5973642855916,-1.2014469202242,-0.00109558592976104,-1.02396199960292,0.00205422361830196,0.118734125137853,-0.000547792964880522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
