time,data
2024/12/19 18:45:26.569336470,0.0
2024/12/19 18:45:26.654065866,0.0
2024/12/19 18:45:26.753641875,0.0
2024/12/19 18:45:26.853478773,0.0
2024/12/19 18:45:26.956430869,0.0
2024/12/19 18:45:27.53432964,0.0
2024/12/19 18:45:27.153428101,0.0
2024/12/19 18:45:27.254227192,0.0
2024/12/19 18:45:27.354731668,0.0
2024/12/19 18:45:27.452594252,0.0
2024/12/19 18:45:27.553080185,0.0
2024/12/19 18:45:27.653559859,0.0
2024/12/19 18:45:27.753102403,0.0
2024/12/19 18:45:27.851390435,0.0
2024/12/19 18:45:27.952228194,0.0
2024/12/19 18:45:28.52290599,0.0
2024/12/19 18:45:28.151340306,0.0
2024/12/19 18:45:28.254543637,0.0
2024/12/19 18:45:28.352670388,0.0
2024/12/19 18:45:28.453650240,0.0
2024/12/19 18:45:28.554459370,0.0
2024/12/19 18:45:28.653151931,0.0
2024/12/19 18:45:28.753253760,0.0
2024/12/19 18:45:28.853854768,0.0
2024/12/19 18:45:28.953723371,0.0
2024/12/19 18:45:29.52946288,0.0
2024/12/19 18:45:29.153730037,0.0
2024/12/19 18:45:29.254277131,0.0
2024/12/19 18:45:29.353088722,0.0
2024/12/19 18:45:29.452987050,0.0
2024/12/19 18:45:29.555408163,0.0
2024/12/19 18:45:29.653965823,0.0
2024/12/19 18:45:29.753788488,0.0
2024/12/19 18:45:29.853430317,0.0
2024/12/19 18:45:29.955995746,0.0
2024/12/19 18:45:30.53298493,0.0
2024/12/19 18:45:30.153782358,0.0
2024/12/19 18:45:30.253992737,0.0
2024/12/19 18:45:30.356073419,0.0
2024/12/19 18:45:30.451773648,0.0
2024/12/19 18:45:30.552752953,0.0
2024/12/19 18:45:30.652365825,0.0
2024/12/19 18:45:30.751290421,0.0
2024/12/19 18:45:30.861776838,0.0
2024/12/19 18:45:30.951376250,0.0
2024/12/19 18:45:31.54333891,0.0
2024/12/19 18:45:31.155288864,0.0
2024/12/19 18:45:31.253708087,0.0
2024/12/19 18:45:31.354515102,0.0
2024/12/19 18:45:31.453618262,0.0
2024/12/19 18:45:31.553181232,0.0
2024/12/19 18:45:31.653784718,0.0
2024/12/19 18:45:31.753409250,0.0
2024/12/19 18:45:31.854745355,0.0
2024/12/19 18:45:31.955185883,0.0
2024/12/19 18:45:32.53343064,0.0
2024/12/19 18:45:32.154101907,0.0
2024/12/19 18:45:32.254852588,0.0
