time,header_stamp_secs,header_stamp_nsecs,header_frame_id,axes_0,axes_1,axes_2,axes_3,axes_4,axes_5,axes_6,axes_7,buttons_0,buttons_1,buttons_2,buttons_3,buttons_4,buttons_5,buttons_6,buttons_7,buttons_8,buttons_9,buttons_10,buttons_11,buttons_12
2024/12/16 14:48:58.725339295,1734328138,725176095,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
2024/12/16 14:48:58.910724308,1734328138,910587497,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:48:59.715197882,1734328139,715041353,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:48:59.850590532,1734328139,850522645,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:49:26.670729591,1734328166,670575830,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0
2024/12/16 14:49:26.802000976,1734328166,801885617,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:49:27.87630005,1734328167,87470859,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:49:27.195717878,1734328167,195626970,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:49:27.310190564,1734328167,310094573,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:49:27.385769156,1734328167,385680723,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:49:27.706080188,1734328167,705938993,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.710299847,1734328167,710161010,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9670078754425049,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.712383607,1734328167,712269852,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.714482667,1734328167,714378187,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9670078754425049,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.716607478,1734328167,716471312,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9587517976760864,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.716628049,1734328167,716475824,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.720760966,1734328167,720689976,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9422397017478943,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.720780998,1734328167,720694080,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.723878391,1734328167,723852181,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9339836239814758,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.725979000,1734328167,725963186,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.729138983,1734328167,729126129,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9339836239814758,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.732299057,1734328167,732286389,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.732309919,1734328167,732290038,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9257275462150574,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.734412739,1734328167,734396633,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9339836239814758,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.734427060,1734328167,734400700,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.736485458,1734328167,736471437,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9422397017478943,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.736497546,1734328167,736475191,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9257275462150574,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.738596485,1734328167,738582820,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9422397017478943,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.738607801,1734328167,738586795,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.740707113,1734328167,740693482,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9257275462150574,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.740718306,1734328167,740697567,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.743871618,1734328167,743857024,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9339836239814758,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.747031331,1734328167,747018652,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9422397017478943,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.747042253,1734328167,747022361,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.749141588,1734328167,749128828,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9422397017478943,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.749152427,1734328167,749132484,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.751251287,1734328167,751238760,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9670078754425049,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.755432780,1734328167,755419372,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.950495719909668,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.755443894,1734328167,755422559,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9670078754425049,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.763854755,1734328167,763839855,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:27.763865294,1734328167,763843597,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:49:28.128869214,1734328168,128730688,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9917760491371155,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:49:28.128888282,1734328168,128747726,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.9917760491371155,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:28.130937076,1734328168,130854652,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2024/12/16 14:49:28.130956403,1734328168,130857511,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024/12/16 14:49:28.139298726,1734328168,139276604,joy,-0.0,-0.0,1.0,0.001048872945830226,-0.0,0.983519971370697,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
