time,header_stamp_secs,header_stamp_nsecs,header_frame_id,name_0,position_0
2024/12/19 18:45:39.538471046,0,0,,leg3link3_link4,0.0035606542717233924
2024/12/19 18:45:39.538508893,0,0,,leg3grip2,1.0760023312665652
2024/12/19 18:45:39.538536770,0,0,,leg3base_link_link2,-0.00287591306562274
2024/12/19 18:45:39.538561908,0,0,,leg3link2_link3,0.0019172753770818267
2024/12/19 18:45:39.538584104,0,0,,leg3link7_link8,-0.0008216894473207829
2024/12/19 18:45:39.538606435,0,0,,leg3grip1,0.8878354478301059
2024/12/19 18:45:39.538628546,0,0,,leg3link5_link6,0.002328120100742218
2024/12/19 18:45:39.538650732,0,0,,leg3link4_link5,0.02287035628376179
2024/12/19 18:45:39.538671949,0,0,,leg3link6_link7,-0.0021911718595220876
2024/12/19 18:49:34.885076230,0,0,,leg3link3_link4,0.0035606542717233924
2024/12/19 18:49:34.885097304,0,0,,leg3grip2,1.0760023312665652
2024/12/19 18:49:34.885230559,0,0,,leg3base_link_link2,-0.00287591306562274
2024/12/19 18:49:34.885251377,0,0,,leg3link2_link3,0.0019172753770818267
2024/12/19 18:49:34.885265199,0,0,,leg3link7_link8,-0.0008216894473207829
2024/12/19 18:49:34.885279115,0,0,,leg3grip1,0.8878354478301059
2024/12/19 18:49:34.885291430,0,0,,leg3link5_link6,0.002328120100742218
2024/12/19 18:49:34.885419005,0,0,,leg3link4_link5,0.02287035628376179
2024/12/19 18:49:34.885439963,0,0,,leg3link6_link7,-0.0021911718595220876
2024/12/19 18:49:36.624670096,0,0,,leg3link3_link4,0.0035606542717233924
2024/12/19 18:49:36.624691491,0,0,,leg3grip2,1.0760023312665652
2024/12/19 18:49:36.624815324,0,0,,leg3base_link_link2,-0.00287591306562274
2024/12/19 18:49:36.624836748,0,0,,leg3link2_link3,0.0019172753770818267
2024/12/19 18:49:36.624866142,0,0,,leg3link7_link8,-0.0008216894473207829
2024/12/19 18:49:36.625045498,0,0,,leg3grip1,0.8878354478301059
2024/12/19 18:49:36.625070460,0,0,,leg3link5_link6,0.002328120100742218
2024/12/19 18:49:36.625083503,0,0,,leg3link4_link5,0.02287035628376179
2024/12/19 18:49:36.625095631,0,0,,leg3link6_link7,-0.0021911718595220876
2024/12/19 18:49:37.384682753,0,0,,leg3link3_link4,0.0035606542717233924
2024/12/19 18:49:37.384711921,0,0,,leg3grip2,1.0760023312665652
2024/12/19 18:49:37.384754628,0,0,,leg3base_link_link2,-0.00287591306562274
2024/12/19 18:49:37.384796511,0,0,,leg3link2_link3,0.0019172753770818267
2024/12/19 18:49:37.384846540,0,0,,leg3link7_link8,-0.0008216894473207829
2024/12/19 18:49:37.384893721,0,0,,leg3grip1,0.8878354478301059
2024/12/19 18:49:37.384945002,0,0,,leg3link5_link6,0.002328120100742218
2024/12/19 18:49:37.384993727,0,0,,leg3link4_link5,0.02287035628376179
2024/12/19 18:49:37.385041749,0,0,,leg3link6_link7,-0.0021911718595220876
2024/12/19 18:49:38.211863973,0,0,,leg3link4_link5,0.01128015253376179
2024/12/19 18:49:38.261977323,0,0,,leg3link4_link5,0.003770063683761791
2024/12/19 18:49:38.312023318,0,0,,leg3link4_link5,-0.0037387000662382104
2024/12/19 18:49:38.361980315,0,0,,leg3link4_link5,-0.01123300321623821
2024/12/19 18:49:38.411964611,0,0,,leg3link4_link5,-0.01873252786623821
2024/12/19 18:49:38.462103957,0,0,,leg3link4_link5,-0.02624436916623821
2024/12/19 18:49:38.512146893,0,0,,leg3link4_link5,-0.03374792341623821
2024/12/19 18:49:38.561939072,0,0,,leg3link4_link5,-0.04123214071623821
2024/12/19 18:49:38.611846607,0,0,,leg3link4_link5,-0.04872889681623821
2024/12/19 18:49:38.661761461,0,0,,leg3link4_link5,-0.056216259916238215
2024/12/19 18:49:38.711818232,0,0,,leg3link4_link5,-0.0637257993162382
2024/12/19 18:49:38.761890383,0,0,,leg3link4_link5,-0.07121866276623821
2024/12/19 18:49:38.811835413,0,0,,leg3link4_link5,-0.0787170822162382
2024/12/19 18:49:38.861930008,0,0,,leg3link4_link5,-0.0862299172662382
